,subject,predicate,object,from,until,object_has_years,subject_has_years
10951,WebMD,owns,RxList,2004-##-##,####-##-##,False,False
10952,WebMD,owns,MedicineNet,2004-##-##,####-##-##,False,False
10953,David Urban,owns,PoliticsPA,2010-##-##,####-##-##,False,False
10954,Turner Broadcasting System,owns,CNN Chile,100-##-##,####-##-##,False,False
10955,Turner Broadcasting System,owns,Chilevisión,2010-##-##,####-##-##,False,False
10956,Daimler AG,owns,Freightliner Trucks,1981-##-##,####-##-##,False,False
10957,Daimler AG,owns,Orion International,2000-##-##,2013-##-##,False,False
10958,National Bank of Greece,owns,Vojvođanska banka,100-##-##,####-##-##,False,False
10959,LafargeHolcim,owns,Heracles General Cement,100-##-##,####-##-##,False,False
10960,Credito Valtellinese,owns,Cassa di Risparmio di Fano,100-##-##,####-##-##,False,False
10961,PRISA TV,owns,Canal+ (Spanish TV channel),1990-##-##,2015-##-##,False,False
10962,Telefónica,owns,Canal+ (Spanish TV channel),2015-##-##,2016-##-##,False,False
10963,Minnesota Sports Facilities Authority,owns,Hubert H. Humphrey Metrodome,2012-##-##,2013-##-##,False,False
10964,On-Media,owns,Tooniverse,1995-##-##,2009-##-##,False,False
10965,CJ E&M,owns,Tooniverse,2010-##-##,####-##-##,False,False
10966,Greater London Council,owns,Royal Festival Hall,1965-##-##,1986-##-##,False,False
10967,London County Council,owns,Royal Festival Hall,1951-##-##,1965-##-##,False,False
10968,Arts Council of Great Britain,owns,Royal Festival Hall,1986-##-##,1988-##-##,False,False
10969,GCap Media,owns,Capital Scotland,2000-##-##,####-##-##,False,False
10970,James Carson Gardner,owns,Carolina Cougars,1969-##-##,####-##-##,False,False
10971,Burmeister & Wain,owns,B&W Hallerne,1996-##-##,####-##-##,False,False
10972,Cumulus Media,owns,Cumulus Media Networks,2011-##-##,2014-##-##,False,False
10973,RCA,owns,Cumulus Media Networks,1927-##-##,1943-##-##,False,False
10974,Citadel Broadcasting,owns,Cumulus Media Networks,2007-##-##,2009-##-##,False,False
10975,Edda Media,owns,Lokalavisene Oslo,100-##-##,####-##-##,False,False
10976,OpCapita,owns,Comet Group,2012-##-##,####-##-##,False,False
10977,Cassa Depositi e Prestiti,owns,CDP Equity,100-##-##,####-##-##,False,False
10978,Cassa Depositi e Prestiti,owns,Poste italiane,696-##-##,####-##-##,False,False
10979,AMC Networks International Central Europe,owns,Minimax (TV channel),2007-##-##,####-##-##,False,False
10980,Canal+ Group,owns,Minimax (TV channel),1996-##-##,2004-##-##,False,False
10981,Darley Stud,owns,Street Sense (horse),2007-06-02,####-##-##,False,False
10982,Panasonic,owns,Emerson Radio,1988-##-##,2001-##-##,False,False
10983,Funai,owns,Emerson Radio,2001-##-##,####-##-##,False,False
10984,SNCF,owns,PO Corrèze,1938-##-##,####-##-##,False,False
10985,SNCF,owns,Somain-Halluin Railway,1938-##-##,1997-##-##,False,False
10986,Réseau Ferré de France,owns,Somain-Halluin Railway,1997-##-##,####-##-##,False,False
10987,Beijing Enlight Media,owns,Beijing Enlight Pictures,100-##-##,####-##-##,False,False
10988,Seagram,owns,October Films,1997-##-##,1999-##-##,False,False
10989,China Railway,owns,Guangzhou Railway Group,100-##-##,####-##-##,False,False
10990,Kompas Gramedia Group,owns,Trans7,2001-##-##,2006-##-##,False,False
10991,Trans Corp,owns,Trans7,2006-##-##,####-##-##,False,False
10992,AMC Networks,owns,PRISM (TV network),1983-##-##,1985-##-##,False,False
10993,CBS,owns,PRISM (TV network),1985-##-##,1987-##-##,False,False
10994,Comcast Spectacor,owns,PRISM (TV network),1976-##-##,1981-##-##,False,False
10995,Kiev Military District,owns,Presidential Administration Building (Kiev),1939-##-##,1941-##-##,False,False
10996,Cox Communications,owns,News 9 Now / News on 6 Now,1996-##-##,2011-##-##,False,False
10997,Griffin Communications,owns,News 9 Now / News on 6 Now,1996-##-##,####-##-##,False,False
10998,Nassau Broadcasting Partners,owns,WBACH,2003-##-##,2012-##-##,False,False
10999,Dan Topping,owns,Brooklyn Dodgers (NFL),1912-##-##,1974-##-##,False,False
11000,Chris Cagle (American football),owns,Brooklyn Dodgers (NFL),1910-##-##,1986-##-##,False,False
11001,Bill Dwyer (mobster),owns,Brooklyn Dodgers (NFL),1930-##-##,####-##-##,False,False
11002,Air Ministry,owns,RAF Breighton,1940-##-##,1964-##-##,False,False
11003,Air Ministry,owns,RAF Worthy Down,1917-##-##,1939-##-##,False,False
11004,Chubu Electric Power,owns,Gorgon gas project,417-##-##,####-##-##,False,False
11005,Milestone Group,owns,Six TV,2001-##-##,2009-##-##,False,False
11006,Argosy Gaming Company,owns,Argosy Empress Casino,2001-##-##,2004-##-##,False,False
11007,Horseshoe Gaming Holding Corporation,owns,Argosy Empress Casino,1999-##-##,2001-##-##,False,False
11008,Penn National Gaming,owns,Argosy Empress Casino,2004-##-##,2009-##-##,False,False
11009,Viacom Media Networks,owns,The Box (U.S. TV channel),1999-##-##,2001-##-##,False,False
11010,Houghton Mifflin Harcourt,owns,Channel One News,2014-05-13,####-##-##,False,False
11011,Avinor,owns,Båtsfjord Airport (1973–99),1997-##-##,####-##-##,True,False
11012,Pitney Bowes,owns,AT&T Building (Nashville),1994-##-##,2006-##-##,False,False
11013,Cerberus Capital Management,owns,AT&T Building (Nashville),2006-##-##,2007-##-##,False,False
11014,Rajawali Corporation,owns,RTV (Indonesia),2012-##-##,####-##-##,False,False
11015,Radio Mindanao Network,owns,EMedia Productions,2013-##-##,2014-##-##,False,False
11016,Hawker Siddeley,owns,Lister Petter,1986-##-##,1996-##-##,False,False
11017,Hawker Siddeley,owns,Hatfield Aerodrome,1960-##-##,1977-##-##,False,False
11018,British Aerospace,owns,Hatfield Aerodrome,1977-##-##,####-##-##,False,False
11019,ABS-CBN,owns,Studio 23,1998-##-##,2014-##-##,False,False
11020,AMCARA Broadcasting Network,owns,Studio 23,1996-##-##,2010-##-##,False,False
11021,Government of Serbia,owns,Elektromreža Srbije,100-##-##,####-##-##,False,False
11022,Government of Serbia,owns,TPP Nikola Tesla,100-##-##,####-##-##,False,False
11023,Government of Serbia,owns,RB Kolubara,100-##-##,####-##-##,False,False
11024,Government of Serbia,owns,Krušik Valjevo,100-##-##,####-##-##,False,False
11025,Government of Serbia,owns,Serbian Railways,100-##-##,####-##-##,False,False
11026,Moffat Communications,owns,W Network,1995-##-##,2001-##-##,False,False
11027,Corus Entertainment,owns,W Network,2001-##-##,####-##-##,False,False
11028,Kalyon Group,owns,ATV (Turkey),2013-##-##,####-##-##,False,False
11029,Savings Deposit Insurance Fund of Turkey,owns,ATV (Turkey),2007-##-##,####-##-##,False,False
11030,Çalık Holding,owns,ATV (Turkey),2007-##-##,2012-##-##,False,False
11031,Viacom (original),owns,UPN,2000-##-##,2005-##-##,False,False
11032,CBS Corporation,owns,UPN,2005-##-##,2006-##-##,False,False
11033,BHC Communications,owns,UPN,1995-##-##,1996-##-##,False,False
11034,Diários Associados,owns,TV Cultura,1960-##-##,1969-##-##,False,False
11035,China International Capital Corporation,owns,China Investment Securities,100-##-##,####-##-##,False,False
11036,Public Transport Commission,owns,Chullora Bus Workshops,1972-##-##,1980-##-##,False,False
11037,State Transit Authority,owns,Chullora Bus Workshops,1989-##-##,1990-##-##,False,False
11038,Urban Transit Authority,owns,Chullora Bus Workshops,1980-##-##,1989-##-##,False,False
11039,Gimbels,owns,"Eastland Mall (North Versailles, Pennsylvania)",1961-##-##,1988-##-##,False,False
11040,Eiffage,owns,Stade Pierre-Mauroy,2043-##-##,####-##-##,False,False
11041,Greene King,owns,Morland Brewery,2000-##-##,####-##-##,False,False
11042,Hugo Meynell,owns,Hoar Cross Hall,1862-##-##,1954-##-##,False,False
11043,New Standard Aircraft Company,owns,Hoover Field,1929-12-30,1933-07-31,False,False
11044,Henry Berliner,owns,Hoover Field,1927-06-##,1928-07-##,False,False
11045,Irish National Stud,owns,Royal Charger,1946-##-##,####-##-##,False,False
11046,Sweden,owns,Swedish Rail Administration,100-##-##,####-##-##,False,False
11047,Minneapolis,owns,Metropolitan Stadium,1956-##-##,1977-##-##,False,False
11048,Cardiff Athletic Club,owns,Cardiff Arms Park,1968-##-##,####-##-##,False,False
11049,North Eastern Region of British Railways,owns,Penda's Way railway station,1948-##-##,1948-##-##,False,False
11050,North Eastern Region of British Railways,owns,Stutton railway station,1923-##-##,1948-##-##,False,False
11051,North Eastern Region of British Railways,owns,Wetherby (York Road) railway station,1923-##-##,1948-##-##,False,False
11052,North Eastern Region of British Railways,owns,Tadcaster railway station,1923-##-##,1948-##-##,False,False
11053,Peter M. Brant,owns,Waya,1979-##-##,####-##-##,False,False
11054,Government of Belarus,owns,Belarusbank,100-##-##,####-##-##,False,False
11055,Government of Belarus,owns,Belposhta,100-##-##,####-##-##,False,False
11056,Andrej Babiš,owns,Agrofert,100-##-##,####-##-##,False,False
11057,"George FitzRoy, 4th Duke of Grafton",owns,Waxy (horse),1811-##-##,1818-##-##,False,False
11058,"Augustus FitzRoy, 3rd Duke of Grafton",owns,Waxy (horse),1804-##-##,1811-##-##,False,False
11059,Johnny Powers (wrestler),owns,National Wrestling Federation,1970-##-##,1974-##-##,False,False
11060,Eurobank Ergasias,owns,New TT Hellenic Postbank,100-##-##,####-##-##,False,False
11061,Salim Group,owns,Indosiar,1995-##-##,2004-##-##,False,False
11062,"Camera di Commercio, Industria, Agricoltura e Artigianato",owns,Aeroporto Guglielmo Marconi di Bologna (company),559-##-##,510-##-##,False,False
11063,Cooney Checkaye,owns,Muncie Flyers,1919-##-##,####-##-##,False,False
11064,Earl Ball,owns,Muncie Flyers,1917-##-##,1921-##-##,False,False
11065,The Blue Meanie,owns,Pro-Pain Pro Wrestling,2002-##-##,2005-##-##,False,False
11066,Jasmin St. Claire,owns,Pro-Pain Pro Wrestling,2002-##-##,2005-##-##,False,False
11067,Government of Ukraine,owns,State Export-Import Bank of Ukraine,100-##-##,####-##-##,False,False
11068,CBS Corporation,owns,Flix (TV network),2006-##-##,####-##-##,False,False
11069,Old Colony Railroad,owns,Fairhaven Branch Railroad,1883-##-##,1893-##-##,False,False
11070,Old Colony Railroad,owns,Cape Cod Railroad,1854-##-##,1872-##-##,False,False
11071,Lippo Group,owns,Lippo Centre (Hong Kong),2017-03-##,####-##-##,False,False
11072,Defy Media,owns,Shut Up! Cartoons,2014-##-##,####-##-##,False,False
11073,Minneapolis Millers,owns,Nicollet Park,1896-##-##,1955-##-##,False,False
11074,Alisher Usmanov,owns,Metalloinvest,100-##-##,####-##-##,False,False
11075,Canal+ Group,owns,StudioCanal UK,100-##-##,####-##-##,False,False
11076,TEDA Holding,owns,TEDA Football Stadium,2016-10-##,####-##-##,False,False
11077,Alpha Bank,owns,Alpha Bank Srbija,100-##-##,####-##-##,False,False
11078,Derby County F.C.,owns,Baseball Ground,1924-##-##,####-##-##,False,False
11079,Francis Ley,owns,Baseball Ground,1924-##-##,####-##-##,False,False
11080,Roland Corporation,owns,Rodgers Instruments,1988-##-##,2015-##-##,False,False
11081,Johannus,owns,Rodgers Instruments,2016-##-##,####-##-##,False,False
11082,Leyland Motors,owns,Bean Cars,1960-##-##,####-##-##,False,False
11083,British Leyland,owns,Bean Cars,1968-##-##,####-##-##,False,False
11084,Standard Motor Company,owns,Bean Cars,1956-##-##,####-##-##,False,False
11085,Hadfields Limited,owns,Bean Cars,1926-##-##,####-##-##,False,False
11086,Virgin Oceanic,owns,Cheyenne (catamaran),2011-##-##,####-##-##,False,False
11087,OTE,owns,Cosmote,100-##-##,####-##-##,False,False
11088,Eidos Interactive,owns,Beautiful Game Studios,2003-##-##,2009-##-##,False,False
11089,Square Enix Europe,owns,Beautiful Game Studios,2009-##-##,####-##-##,False,False
11090,Banca Tercas,owns,Banca Caripe,979-##-##,####-##-##,False,False
11091,Tokuma Shoten,owns,Studio Ghibli,1999-##-##,2005-##-##,False,False
11092,Amazon.com,owns,Goodreads,2013-##-##,####-##-##,False,False
11093,Ted Collins (manager),owns,Boston Yanks,1900-##-##,1964-##-##,False,False
11094,Sunway Group,owns,Wonderland Sydney,1997-##-##,2004-##-##,False,False
11095,Banca Monte dei Paschi di Siena,owns,Banca Agricola Mantovana,100-##-##,####-##-##,False,False
11096,Banca Monte dei Paschi di Siena,owns,Fidi Toscana,2844-##-##,####-##-##,False,False
11097,Thierry Déau,owns,Meridiam,100-##-##,####-##-##,False,False
11098,Südtiroler Sparkasse – Cassa di Risparmio di Bolzano,owns,Investitionsbank Trentino Südtirol – Mediocredito Trentino Alto Adige,207-##-##,489-##-##,False,False
11099,Corus Entertainment,owns,Action (Canadian TV channel),2016-##-##,####-##-##,False,False
11100,Alliance Atlantis,owns,Action (Canadian TV channel),2000-##-##,2008-##-##,False,False
11101,UBI Banca,owns,Banco di Brescia,100-##-##,####-##-##,False,False
11102,UBI Banca,owns,Banca Adriatica,100-##-##,####-##-##,False,False
11103,UBI Banca,owns,Banca Tirrenica,100-##-##,####-##-##,False,False
11104,UBI Banca,owns,Banca Teatina,100-##-##,####-##-##,False,False
11105,Kogi State,owns,Confluence Queens F.C.,2006-##-##,####-##-##,False,False
11106,Sun Capital Partners,owns,Mervyn's,2004-##-##,2008-##-##,False,False
11107,Target Corporation,owns,Mervyn's,1978-##-##,2004-##-##,False,False
11108,Tan Yu,owns,Fantasy Gardens,1990-##-##,2006-##-##,False,False
11109,Bill Vander Zalm,owns,Fantasy Gardens,1984-##-##,1990-##-##,False,False
11110,Paramount Pictures,owns,Liberty Films,1947-##-##,1951-##-##,False,False
11111,Media Nusantara Citra,owns,RCTI,1989-##-##,2003-##-##,False,False
11112,Media Nusantara Citra,owns,SinemArt,2003-##-##,2017-##-##,False,False
11113,Media Nusantara Citra,owns,INews TV,2007-##-##,####-##-##,False,False
11114,Holmen (company),owns,Iggesund Paperboard,100-##-##,####-##-##,False,False
11115,Daiei,owns,OPA co. ltd.,100-##-##,####-##-##,False,False
11116,Great Western Railway,owns,Forest of Dean Central Railway,1923-##-##,####-##-##,False,False
11117,MCA Inc.,owns,Action Pack (television),1994-##-##,1996-##-##,False,False
11118,Loews Cineplex Entertainment,owns,Kings Theatre (Brooklyn),1929-##-##,1977-##-##,False,False
11119,DR (broadcaster),owns,TV Syd,1983-##-##,1988-##-##,False,False
11120,Mohammed bin Rashid Al Maktoum,owns,King's Theatre (horse),1994-##-##,1995-##-##,False,False
11121,Godolphin Racing,owns,King's Theatre (horse),1996-##-##,####-##-##,False,False
11122,Six Flags,owns,White Water Bay (Oklahoma),1991-##-##,2007-##-##,False,False
11123,Birmingham International Holdings,owns,2016–17 Birmingham City F.C. season,2016-10-17,2016-10-17,True,False
11124,Cadillac Fairview,owns,Hudson's Bay Queen Street,2029-##-##,####-##-##,False,False
11125,Historic Scotland,owns,Dallas Dhu distillery,1992-##-##,####-##-##,False,False
11126,Banco BPM,owns,Cassa di Risparmio di Asti,100-##-##,####-##-##,False,False
11127,Banco BPM,owns,Istituto Centrale delle Banche Popolari Italiane,100-##-##,####-##-##,False,False
11128,Gemstar-TV Guide International,owns,Sneak Prevue,1999-##-##,2002-##-##,False,False
11129,Le.com,owns,Leshi Zhixin,100-##-##,1045-##-##,False,False
11130,E. P. Taylor,owns,Chop Chop (horse),1952-##-##,####-##-##,False,False
11131,Cox Enterprises,owns,Rysher Entertainment,1993-##-##,2001-##-##,False,False
11132,2929 Entertainment,owns,Rysher Entertainment,2001-##-##,2006-##-##,False,True
11133,Savings Deposit Insurance Fund of Turkey,owns,Digiturk,2013-##-##,2015-##-##,False,False
11134,Çukurova Holding,owns,Digiturk,1999-##-##,2013-##-##,False,False
11135,Monde Nissin,owns,Quorn,2015-##-##,####-##-##,False,False
11136,Megaworld Corporation,owns,Broadway Centrum,2012-##-##,####-##-##,False,False
11137,GMA Network (company),owns,Broadway Centrum,1987-##-##,2012-##-##,False,False
11138,Fininvest,owns,Banca Mediolanum,639-##-##,731-##-##,False,False
11139,Fininvest,owns,Arnoldo Mondadori Editore,363-##-##,####-##-##,False,False
11140,Fininvest,owns,Mediaset,795-##-##,####-##-##,False,False
11141,Stonegate Pub Company,owns,Varsity (bar),2013-##-##,####-##-##,False,False
11142,Cork Distilleries Company,owns,"Jameson Experience, Midleton",1825-##-##,1868-##-##,False,False
11143,Sacyr Vallehermoso,owns,Torre PwC,2011-11-##,####-##-##,False,False
11144,Canon Inc.,owns,Toshiba Medical Systems Corporation,100-##-##,####-##-##,False,False
11145,Ben Holladay,owns,Portland Street Railway Company,1872-##-##,1887-##-##,False,False
11146,Government of the United Kingdom,owns,British Rail,100-##-##,####-##-##,False,False
11147,Telefónica,owns,Cero (TV channel),2016-##-##,####-##-##,False,False
11148,British Land,owns,Drake Circus Shopping Centre,2011-01-##,####-##-##,False,False
11149,Dimitris Kontominas,owns,Alpha TV,100-##-##,####-##-##,False,False
11150,Raycom Sports,owns,ACC Network,2019-07-##,####-##-##,False,False
11151,Bank of America,owns,108 North State Street,2012-02-##,####-##-##,False,False
11152,Florida Department of Transportation,owns,Old Roosevelt Bridge,2014-10-##,####-##-##,False,False
11153,University of Warsaw,owns,"Hotel Bristol, Warsaw",1977-##-##,1981-##-##,False,False
11154,Johnny Bryan,owns,Milwaukee Badgers,1926-##-##,####-##-##,False,False
11155,Ambrose McGuirk,owns,Milwaukee Badgers,1922-##-##,1925-##-##,False,False
11156,Noël Coward,owns,Goldenhurst Farm,1926-##-##,####-##-##,False,False
11157,National Coal Board,owns,Coventry Colliery,1947-##-##,1991-##-##,False,False
11158,Juventus F.C.,owns,Stadio delle Alpi,2003-##-##,2006-##-##,False,False
11159,Turin,owns,Stadio delle Alpi,1990-##-##,2003-##-##,False,False
11160,Finsoe,owns,Unipol,404-##-##,614-##-##,False,False
11161,Norwegian State Railways,owns,CargoNet,100-##-##,####-##-##,False,False
11162,Knights of Columbus,owns,WRRO,1915-##-##,####-##-##,False,False
11163,Knights of Columbus,owns,WLBJ-LP,1197-##-##,####-##-##,False,False
11164,Knights of Columbus,owns,Bushwick Democratic Club House,1941-##-##,####-##-##,False,False
11165,RAG AG,owns,Gasometer Oberhausen,1927-##-##,1992-##-##,False,False
11166,RTL Group,owns,Pearson Television,2000-##-##,2001-##-##,False,False
11167,Pearson PLC,owns,Pearson Television,1996-##-##,2000-##-##,False,False
11168,Jack Cusack,owns,Canton Bulldogs,1911-##-##,1918-##-##,False,False
11169,Ralph Hay,owns,Canton Bulldogs,1918-##-##,1923-##-##,False,False
11170,Edward F. Seagram,owns,Shady Well,1933-##-##,####-##-##,False,False
11171,Arcadia Group,owns,Beales (department store),2015-##-##,2016-##-##,False,False
11172,Government of Russia,owns,Sovcomflot,100-##-##,####-##-##,False,False
11173,Government of Russia,owns,Russian Post,100-##-##,####-##-##,False,False
11174,Billy Gibson (boxing),owns,New York Brickley Giants,1921-##-##,####-##-##,False,False
11175,Jeanie Buss,owns,Women of Wrestling,2000-##-##,####-##-##,False,False
11176,United Petroleum,owns,Pie Face,2017-##-##,####-##-##,False,False
11177,Visi Media Asia,owns,TvOne (Indonesia),2006-##-##,####-##-##,False,False
11178,Visi Media Asia,owns,Antv,2006-##-##,####-##-##,False,False
11179,Bakrie Group,owns,Antv,1993-##-##,2006-##-##,False,False
11180,Marion duPont Scott,owns,Battleship (horse),1931-##-##,####-##-##,False,False
11181,RCA,owns,Blue Network,1927-##-##,1943-##-##,False,False
11182,The Weinstein Company,owns,Dimension Films,2005-##-##,####-##-##,False,False
11183,Paul Snyder (basketball),owns,Buffalo Braves,1970-##-##,1977-##-##,False,False
11184,Godolphin Stables,owns,Daylami,1998-##-##,####-##-##,False,False
11185,Godolphin Stables,owns,Swain (horse),1997-##-##,####-##-##,False,False
11186,Jerry Blackwell,owns,Southern Championship Wrestling (Georgia),1988-##-##,1990-##-##,False,False
11187,Joe Pedicino,owns,Southern Championship Wrestling (Georgia),1990-##-##,1991-##-##,False,False
11188,Christopher Hemmeter,owns,The Hawaiians (WFL),1974-##-##,####-##-##,False,False
11189,DZ Bank,owns,Cassa Centrale Banca - Credito Cooperativo del Nord Est,606-##-##,963-##-##,False,False
11190,Elizabeth Meyer,owns,Endeavour (yacht),1984-##-##,####-##-##,False,False
11191,USFR Media Group,owns,America One,2003-##-##,2009-##-##,False,False
11192,Richard Branson,owns,The Superstation,1987-##-##,1989-##-##,False,False
11193,Atlanta,owns,CNN Center,1976-##-##,1987-##-##,False,False
11194,CNN,owns,CNN Center,1987-##-##,####-##-##,False,False
11195,Crédit Agricole,owns,Crédit Agricole Italia,100-##-##,####-##-##,False,False
11196,Crédit Agricole,owns,Crédit Agricole Srbija,100-##-##,####-##-##,False,False
11197,Nest Labs,owns,Dropcam,2014-##-##,####-##-##,False,False
11198,Wake Forest University,owns,Groves Stadium (1940),1940-##-##,1957-##-##,True,False
11199,Mongolia Energy Corporation,owns,Beida Jade Bird Universal Sci-Tech,100-##-##,####-##-##,False,False
11200,Grand Duchy of Baden,owns,Holzbrücke Bad Säckingen,1979-##-##,1869-##-##,False,False
11201,ESPN Inc.,owns,SBS Sports,2010-##-##,2013-##-##,False,False
11202,General Motors,owns,Oakland Motor Car Company,1909-##-##,1931-##-##,False,False
11203,Ukraine,owns,Ukrainian Railways,100-##-##,####-##-##,False,False
11204,Fox Broadcasting Company,owns,Fox Kids,2001-##-##,2002-##-##,False,False
11205,House of Lubomirski,owns,"Lubomirski Palace, Warsaw",1730-##-##,1790-##-##,False,False
11206,Transdev Germany,owns,Transdev Sachsen-Anhalt,100-##-##,####-##-##,False,False
11207,Banco Espírito Santo,owns,Isle of Man Steam Packet Company,2011-##-##,####-##-##,False,False
11208,Sea Containers,owns,Isle of Man Steam Packet Company,1996-##-##,2003-##-##,False,False
11209,Government of Ireland,owns,CIÉ,100-##-##,####-##-##,False,False
11210,Government of Ireland,owns,Iarnród Éireann,100-##-##,####-##-##,False,False
11211,3i,owns,Scandlines,100-##-##,####-##-##,False,False
11212,Seibu Holdings,owns,Seibu Railway,100-##-##,####-##-##,False,False
11213,Morgan Stanley,owns,Morgan Stanley Wealth Management,100-##-##,####-##-##,False,False
11214,Ferrovie dello Stato Italiane,owns,Trenitalia,100-##-##,####-##-##,False,False
11215,BPER Banca,owns,Cassa di Risparmio di Saluzzo,100-##-##,####-##-##,False,False
11216,BPER Banca,owns,Nuova Cassa di Risparmio di Ferrara,100-##-##,####-##-##,False,False
11217,Privately held company,owns,Terason,100-##-##,####-##-##,False,False
11218,Bank of New York,owns,Parallel Media Group,100-##-##,####-##-##,False,False
11219,Piraeus Bank,owns,Piraeus Bank Beograd,100-##-##,####-##-##,False,False
11220,Mahaka Media,owns,JakTV,2010-##-##,####-##-##,False,False
11221,CVS Health,owns,CVS Pharmacy,1996-##-##,####-##-##,False,False
11222,New England Patriots,owns,Foxboro Stadium,1970-##-##,1988-##-##,False,False
11223,Robert Kraft,owns,Foxboro Stadium,1988-##-##,2002-##-##,False,False
11224,Archaeological Survey of India,owns,Mahmud Gawan Madrasa,1914-##-##,####-##-##,False,False
11225,Electricity Trust of South Australia,owns,Telford Cut,1948-##-##,####-##-##,False,False
11226,Alinta Energy,owns,Telford Cut,2015-##-##,####-##-##,False,False
11227,Pernod Ricard,owns,Aberlour distillery,1974-##-##,####-##-##,False,False
11228,Lloyds Development Capital,owns,National Exhibition Centre,2015-##-##,####-##-##,False,False
11229,NEC,owns,BIGLOBE,1986-##-##,2014-##-##,False,False
11230,KDDI,owns,BIGLOBE,2017-##-##,####-##-##,False,False
11231,Art Kim,owns,Anaheim Amigos,1967-##-##,####-##-##,False,False
11232,Power Corporation of Canada,owns,Trio (TV network),1994-##-##,2000-##-##,False,False
11233,Canadian Broadcasting Corporation,owns,Trio (TV network),1994-##-##,2000-##-##,False,False
11234,Suning Appliance Group,owns,Suning Commerce Group,100-##-##,####-##-##,False,False
11235,Billy Corgan,owns,National Wrestling Alliance,2017-##-##,####-##-##,False,False
11236,Equity Media Holdings,owns,KUOK-CA,2004-##-##,2008-##-##,False,False
11237,Bezeq,owns,Walla!,100-##-##,####-##-##,False,False
11238,Grover Cleveland,owns,Gray Gables,1890-##-##,1908-##-##,False,False
11239,BBC Worldwide,owns,BBC UKTV,2008-07-01,####-##-##,False,False
11240,Kaohsiung City Government,owns,Kaohsiung Mass Rapid Transit,2037-##-##,####-##-##,False,False
11241,Sofina,owns,Anglo-Argentine Tramways Company,1907-##-##,####-##-##,False,False
11242,Rio Tinto Group,owns,Gladstone Power Station,125-##-##,####-##-##,False,False
11243,David A. Siegel,owns,Mystery Fun House,1976-##-##,####-##-##,False,False
11244,Chicago Federation of Labor,owns,WCFL (AM),1926-##-##,1978-##-##,False,False
11245,Mutual Broadcasting System,owns,WCFL (AM),1978-##-##,1983-##-##,False,False
11246,Government of Greece,owns,Hellenic Aerospace Industry,100-##-##,####-##-##,False,False
11247,Government of Greece,owns,Hellenic Republic Asset Development Fund,100-##-##,####-##-##,False,False
11248,Calumet Farm,owns,Bal a Bali,2017-##-##,####-##-##,False,False
11249,News Corp Australia,owns,The Daily Mirror (Sydney),1959-##-##,1990-##-##,False,False
11250,"Massillon, Ohio",owns,Massillon Tigers,1903-##-##,1907-##-##,False,False
11251,Ralph Hay,owns,Massillon Tigers,1920-##-##,####-##-##,False,False
11252,FC Zürich,owns,Letzigrund,1925-##-##,1937-##-##,False,False
11253,Hrvatski Telekom,owns,Combis,100-##-##,####-##-##,False,False
11254,Brigada Mass Media Corporation,owns,DXRX,2013-##-##,2015-##-##,False,False
11255,Tsinghua University,owns,Tsinghua Holdings,100-##-##,####-##-##,False,False
11256,Madrid,owns,Estadio La Peineta,2002-##-##,2017-##-##,False,False
11257,Community of Madrid,owns,Estadio La Peineta,1994-##-##,2002-##-##,False,False
11258,Cricket Victoria,owns,Junction Oval,2017-##-##,####-##-##,False,False
11259,National Amusements,owns,King World Productions,2000-##-##,2007-##-##,False,False
11260,Godolphin Racing,owns,Intikhab,2004-##-##,####-##-##,False,False
11261,Godolphin Racing,owns,Electrocutionist,2006-##-##,####-##-##,False,False
11262,Godolphin Racing,owns,Sulamani,2003-##-##,2017-##-##,False,False
11263,Godolphin Racing,owns,Refuse To Bend,2004-##-##,####-##-##,False,False
11264,Godolphin Racing,owns,Kayf Tara,1998-##-##,####-##-##,False,False
11265,Government of Sweden,owns,Lysekil Line,1939-##-##,####-##-##,False,False
11266,Hamburg,owns,Hamburger Hochbahn,100-##-##,####-##-##,False,False
11267,Hamburg,owns,HADAG,100-##-##,####-##-##,False,False
11268,Union Tank Car Company,owns,Procor,1952-##-##,####-##-##,False,False
11269,Peking University,owns,Sinobioway Group,100-##-##,####-##-##,False,False
11270,David Jones Limited,owns,John Martin & Co.,1866-##-##,1870-##-##,False,False
11271,Poste italiane,owns,Banca del Mezzogiorno – MedioCredito Centrale,100-##-##,####-##-##,False,False
11272,Warner Bros.,owns,Weintraub Entertainment Group,1989-##-##,1990-##-##,False,False
11273,Columbia Pictures,owns,Weintraub Entertainment Group,1987-##-##,1989-##-##,False,False
11274,Mandalay Sports Entertainment,owns,Frisco RoughRiders,2001-12-01,2014-06-16,False,False
11275,Zhang Jindong,owns,Suning Holdings Group,100-##-##,####-##-##,False,False
11276,Liberty Property Trust,owns,Comcast Center (Philadelphia),1701-##-##,####-##-##,False,False
11277,Charterhouse Capital Partners,owns,Skillsoft,2014-04-##,####-##-##,False,False
11278,Grampian Television,owns,Scot FM,1994-##-##,####-##-##,False,False
11279,John Elitch,owns,Elitch Gardens,1890-##-##,1916-##-##,False,False
11280,Capitalia,owns,Bipop Carire,100-##-##,2007-##-##,False,False
11281,"Edward Stanley, 17th Earl of Derby",owns,Swynford,1908-##-##,####-##-##,False,False
11282,Sainsbury's,owns,SavaCentre,1977-##-##,####-##-##,False,False
